Atlanta,Atlanta (Mercedes-Benz)
Boston (Foxborough),Boston (Foxborough)
Dallas (Arlington),Dallas (Arlington)
Guadalajara (Zapopan),Guadalajara (Zapopan)
Houston,Houston (NRG)
Kansas City,Kansas City (Arrowhead)
Los Angeles (Inglewood),Los Angeles (Inglewood)
Mexico City,Cidado do México (Azteca)
Miami (Miami Gardens),Miami (Miami Gardens)
Monterrey (Guadalupe),Monterrey (Guadalupe)
New York/New Jersey (East Rutherford),Nova Iorque/Nova Jersey (MetLife)
Philadelphia,Philadelphia
San Francisco Bay Area (Santa Clara),San Francisco (Levi's)
Seattle,Seattle,(Lumen Field)
Toronto,Toronto
Vancouver,Vancouver (BC Place)
